,index,product_id,scene_id,path,row,sensing_time,cloud_cover,geom
0,0,LT05_L1TP_219077_19850531_20170219_01_T1,LT52190771985151CUB01,219,77,1985-05-31 12:34:52,42.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
1,1,LT05_L1TP_219077_19851022_20170218_01_T1,LT52190771985295CUB00,219,77,1985-10-22 12:33:37,15.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
2,2,LT05_L1TP_219076_19851107_20170218_01_T1,LT52190761985311CUB00,219,76,1985-11-07 12:33:00,3.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
3,3,LM05_L1TP_219076_19850515_20180406_01_T2,LM52190761985135FFF03,219,76,1985-05-15 12:34:28,8.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
4,4,LT05_L1TP_219077_19850312_20170219_01_T1,LT52190771985071CUB00,219,77,1985-03-12 12:35:11,14.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
5,5,LT05_L1TP_219076_19850531_20170219_01_T1,LT52190761985151CUB01,219,76,1985-05-31 12:34:28,16.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
6,6,LM05_L1TP_219076_19850819_20180407_01_T2,LM52190761985231AAA03,219,76,1985-08-19 12:33:58,6.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
7,7,LM05_L1TP_219077_19850819_20180407_01_T2,LM52190771985231AAA03,219,77,1985-08-19 12:34:22,5.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
8,8,LT05_L1TP_219077_19851107_20170218_01_T1,LT52190771985311CUB00,219,77,1985-11-07 12:33:24,14.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
9,9,LT05_L1TP_219077_19850920_20170218_01_T1,LT52190771985263CUB00,219,77,1985-09-20 12:33:57,37.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
10,10,LT05_L1TP_219077_19850819_20170219_01_T1,LT52190771985231CUB00,219,77,1985-08-19 12:34:22,50.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
11,11,LT05_L1TP_219076_19851022_20170218_01_T1,LT52190761985295CUB00,219,76,1985-10-22 12:33:13,11.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
12,12,LM05_L1TP_219077_19850515_20180406_01_T2,LM52190771985135FFF03,219,77,1985-05-15 12:34:51,1.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
13,13,LT05_L1TP_219076_19850312_20170219_01_T1,LT52190761985071CUB00,219,76,1985-03-12 12:34:47,1.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
14,14,LT05_L1TP_219077_19850616_20170219_01_T1,LT52190771985167CUB00,219,77,1985-06-16 12:34:50,0.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
15,0,LT05_L1TP_219076_19900529_20170129_01_T1,LT52190761990149CUB00,219,76,1990-05-29 12:24:32,42.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
16,1,LT05_L1TP_219076_19901223_20170127_01_T1,LT52190761990357CUB00,219,76,1990-12-23 12:23:57,3.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
17,2,LT05_L1TP_219076_19900326_20170131_01_T1,LT52190761990085CUB00,219,76,1990-03-26 12:24:33,38.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
18,3,LT05_L1TP_219076_19900630_20170130_01_T1,LT52190761990181CUB00,219,76,1990-06-30 12:24:30,42.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
19,4,LT05_L1TP_219077_19901223_20170128_01_T1,LT52190771990357CUB00,219,77,1990-12-23 12:24:21,27.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
20,5,LT05_L1TP_219077_19900206_20170131_01_T1,LT52190771990037CUB00,219,77,1990-02-06 12:26:32,25.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
21,6,LT05_L1TP_219077_19900310_20170131_01_T1,LT52190771990069CUB00,219,77,1990-03-10 12:25:27,15.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
22,7,LT05_L1TP_219076_19900206_20170131_01_T1,LT52190761990037CUB00,219,76,1990-02-06 12:26:08,32.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
23,8,LT05_L1TP_219076_19901004_20170129_01_T1,LT52190761990277CUB00,219,76,1990-10-04 12:23:54,28.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
24,9,LT05_L1TP_219076_19900614_20170129_01_T1,LT52190761990165CUB00,219,76,1990-06-14 12:24:30,31.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
25,10,LT05_L1TP_219076_19900411_20170131_01_T1,LT52190761990101CUB00,219,76,1990-04-11 12:24:32,14.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
26,11,LT05_L1TP_219076_19900310_20170131_01_T1,LT52190761990069CUB00,219,76,1990-03-10 12:25:03,6.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
27,12,LT05_L1TP_219077_19900326_20170131_01_T1,LT52190771990085CUB00,219,77,1990-03-26 12:24:57,46.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
28,13,LT05_L1TP_219076_19900427_20170131_01_T1,LT52190761990117CUB00,219,76,1990-04-27 12:24:31,5.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
29,14,LT05_L1TP_219077_19900411_20170131_01_T1,LT52190771990101CUB00,219,77,1990-04-11 12:24:56,11.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
30,15,LT05_L1TP_219077_19900614_20170131_01_T1,LT52190771990165CUB00,219,77,1990-06-14 12:24:54,22.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
31,0,LT05_L1TP_219077_19950612_20170107_01_T1,LT52190771995163CUB00,219,77,1995-06-12 12:11:03,10.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
32,1,LT05_L1TP_219076_19950916_20170106_01_T1,LT52190761995259CUB00,219,76,1995-09-16 12:06:14,37.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
33,2,LT05_L1TP_219077_19950409_20170109_01_T1,LT52190771995099CUB00,219,77,1995-04-09 12:13:57,8.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
34,3,LT05_L1TP_219076_19950409_20170108_01_T1,LT52190761995099CUB00,219,76,1995-04-09 12:13:33,14.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
35,4,LT05_L1TP_219077_19950628_20170107_01_T1,LT52190771995179CUB00,219,77,1995-06-28 12:10:20,2.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
36,5,LT05_L1TP_219077_19950425_20170108_01_T1,LT52190771995115CUB00,219,77,1995-04-25 12:13:16,24.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
37,6,LT05_L1TP_219076_19951018_20170106_01_T1,LT52190761995291CUB00,219,76,1995-10-18 12:04:32,29.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
38,7,LT05_L1TP_219076_19950527_20170108_01_T1,LT52190761995147CUB00,219,76,1995-05-27 12:11:24,34.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
39,8,LT05_L1TP_219076_19950425_20170108_01_T1,LT52190761995115CUB00,219,76,1995-04-25 12:12:52,47.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
40,9,LT05_L1TP_219076_19951205_20170105_01_T1,LT52190761995339CUB00,219,76,1995-12-05 12:04:40,25.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
41,10,LT05_L1TP_219076_19951002_20170106_01_T1,LT52190761995275CUB00,219,76,1995-10-02 12:05:25,18.0,"POLYGON((-45.792382 -23.927088, -45.798249 -23.952353, -45.8098 -24.0021, -45.809961 -24.002077, -47.603 -23.7416, -47.592214 -23.69766, -47.238402 -22.256235, -47.2313 -22.2273, -45.457583 -22.484888, -45.4575 -22.4849, -45.464183 -22.513682, -45.474934 -22.559981, -45.792382 -23.927088))"
42,11,LT05_L1TP_219077_19950730_20170108_01_T1,LT52190771995211CUB00,219,77,1995-07-30 12:08:54,41.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
43,12,LT05_L1GS_219077_19951205_20170106_01_T2,LT52190771995339CUB00,219,77,1995-12-05 12:05:04,28.0,"POLYGON((-46.131832 -25.368495, -46.13396 -25.377531, -46.1495 -25.4435, -46.149734 -25.443466, -47.9628 -25.1801, -47.954632 -25.147425, -47.592214 -23.69766, -47.5845 -23.6668, -45.792382 -23.927088, -45.7923 -23.9271, -45.798249 -23.952353, -45.809961 -24.002077, -46.131832 -25.368495))"
